# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
1.100000000000000089e+00;1.099939050259900686e+00;3.490603079678719026e-03;6.982749638130530956e-02;7.920946274522184805e-01;4.000000000000000000e+00;0.000000000000000000e+00
1.200000000000000178e+00;1.199391008393250635e+00;1.394564805349790722e-02;1.396549128163505349e-01;6.734256878205582275e-01;4.000000000000000000e+00;0.000000000000000000e+00
1.300000000000000044e+00;1.297871160355577702e+00;3.131391422116950457e-02;2.094819254794426655e-01;7.050558051043753771e-01;4.000000000000000000e+00;0.000000000000000000e+00
1.400000000000000133e+00;1.394899524073593966e+00;5.551093320191288066e-02;2.793094486625697370e-01;6.966607201027632534e-01;4.000000000000000000e+00;0.000000000000000000e+00
1.500000000000000000e+00;1.490003195941312475e+00;8.641869289815166943e-02;3.491367304132340643e-01;6.988769071515877895e-01;4.000000000000000000e+00;0.000000000000000000e+00
1.600000000000000089e+00;1.582718651980042024e+00;1.238865817779188083e-01;4.189641036290572829e-01;6.982948025246981105e-01;4.000000000000000000e+00;0.000000000000000000e+00
1.700000000000000178e+00;1.672594008476550931e+00;1.677319759800617871e-01;4.887914456102905314e-01;6.984468684214220069e-01;4.000000000000000000e+00;0.000000000000000000e+00
1.800000000000000044e+00;1.759191223883360911e+00;2.177411816449944248e-01;5.586187976152595658e-01;6.984073675939268533e-01;4.000000000000000000e+00;0.000000000000000000e+00
1.900000000000000133e+00;1.842088233955318843e+00;2.736704589882872352e-01;6.284461465378782252e-01;6.984175665600943494e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.000000000000000000e+00;1.920881008782876043e+00;3.352472158553059800e-01;6.982734963782910587e-01;6.984149502916537910e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.100000000000000089e+00;1.995185522002119072e+00;4.021713345554494001e-01;7.681008459524590881e-01;6.984156166771546825e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.200000000000000178e+00;2.064639622487005610e+00;4.741166351332855022e-01;8.379281956021501498e-01;6.984154482718540891e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.300000000000000266e+00;2.128904799431357464e+00;5.507324649689966378e-01;9.077555452308426753e-01;6.984154904556750809e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.400000000000000355e+00;2.187667832208724406e+00;6.316454078642744774e-01;9.775828948652603989e-01;6.984154799955970550e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.500000000000000000e+00;2.240642316971609649e+00;7.164611040131957376e-01;1.047410244498146570e+00;6.984154825586528226e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.600000000000000089e+00;2.287570062548826666e+00;8.047661720678833674e-01;1.117237594131432310e+00;6.984154819397027092e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.700000000000000178e+00;2.328222348837747813e+00;8.961302239075343845e-01;1.187064943764611691e+00;6.984154820863749391e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.800000000000000266e+00;2.362401041558163328e+00;9.901079622979186423e-01;1.256892293397814386e+00;6.984154820523857943e-01;4.000000000000000000e+00;0.000000000000000000e+00
2.900000000000000355e+00;2.389939557934569692e+00;1.086241351215636142e+00;1.326719643031021079e+00;6.984154820601488067e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.000000000000000000e+00;2.410703678600282007e+00;1.184061848259802652e+00;1.396546992664211784e+00;6.984154820584286272e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.100000000000000089e+00;2.424592201766243793e+00;1.283092688270500492e+00;1.466374342297407374e+00;6.984154820586703227e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.200000000000000178e+00;2.431537436466182367e+00;1.382851207023962248e+00;1.536201691930606295e+00;6.984154820587510359e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.300000000000000266e+00;2.431505532474123932e+00;1.482851193679070478e+00;1.606029041563802107e+00;6.984154820587334944e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.400000000000000355e+00;2.424496645286254637e+00;1.582605260509637901e+00;1.675856391196997253e+00;6.984154820587497037e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.500000000000000000e+00;2.410544935363057473e+00;1.681627218372678367e+00;1.745683740830179520e+00;6.984154820581178758e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.600000000000000089e+00;2.389718401635391842e+00;1.779434446334936304e+00;1.815511090463374888e+00;6.984154820615380288e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.700000000000000178e+00;2.362118550086010682e+00;1.875550243908390424e+00;1.885338440096567592e+00;6.984154820462402657e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.800000000000000266e+00;2.327879899021792376e+00;1.969506154430228584e+00;1.955165789729735648e+00;6.984154821131752788e-01;4.000000000000000000e+00;0.000000000000000000e+00
3.900000000000000355e+00;2.287169323447934666e+00;2.060844248263457246e+00;2.024993139363003181e+00;6.984154818246243179e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.000000000000000000e+00;2.240185241739553135e+00;2.149119354689939421e+00;2.094820488995826402e+00;6.984154830432787175e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.100000000000000533e+00;2.187156648574742679e+00;2.233901231618526051e+00;2.164647838630576082e+00;6.984154779882795205e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.200000000000000178e+00;2.128341998842480542e+00;2.314776662530938722e+00;2.234475188257104339e+00;6.984154986543843480e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.299999999999999822e+00;2.064027947965044074e+00;2.391351470454567085e+00;2.304302537918157867e+00;6.984154151810487710e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.400000000000000355e+00;1.994527954774480749e+00;2.463252439110066749e+00;2.374129887435943775e+00;6.984157488768849564e-01;4.000000000000000000e+00;0.000000000000000000e+00
4.500000000000000000e+00;1.920180753752535496e+00;2.530129132009798720e+00;2.443957237541882321e+00;6.984144268372108888e-01;4.000000000000000000e+00;0.000000000000000000e+00
