# x_m, y_m, w_tr_right_m, w_tr_left_m
3.327883376022905182e+00,-2.128315837496681517e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.324587997688315255e+00,-2.228261397702784308e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.314755202226364883e+00,-2.327776925892986348e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.298435508420405338e+00,-2.426436208443278453e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.275696483728204100e+00,-2.523816598280077539e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.246636186413838221e+00,-2.619500954935748194e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.211378920476137822e+00,-2.713079395353118706e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.170075767085845708e+00,-2.804151059733131390e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.122903641881784598e+00,-2.892325825902238634e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.070064619101834147e+00,-2.977225981245196884e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.011785043245383875e+00,-3.058487840491684651e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.948314565772728102e+00,-3.135763303686665004e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.879925073939268554e+00,-3.208721347327216034e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.806909526597089144e+00,-3.277049442352081510e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.729580699120223386e+00,-3.340454892970637246e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.648269843609770469e+00,-3.398666090267546736e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.563325269909787263e+00,-3.451433676498684822e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.475110853543912359e+00,-3.498531610159593797e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.384004477054793458e+00,-3.539758146141115613e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.290396411018736256e+00,-3.574936654562645977e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.194687643232717811e+00,-3.603916550842998223e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.097288157258571761e+00,-3.626573278182268378e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.998615190508071349e+00,-3.642811370908508373e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.899091392265991329e+00,-3.652555209200390784e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.799143221680065130e+00,-3.655786171093563297e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.699152165928999647e+00,-3.657103424989135654e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.599230128379969251e+00,-3.661055739214271743e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.499445723726860802e+00,-3.667617595242429029e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.399867308266327326e+00,-3.676790627131104827e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.300563141790907151e+00,-3.688566900880030364e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.201601281967342727e+00,-3.702938782686211017e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.103049563697660496e+00,-3.719896324053431069e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.004975507477839036e+00,-3.739427856018826102e+00,4.000000000000000222e-01,4.000000000000000222e-01
9.074464281304011060e-01,-3.761520277089135167e+00,4.000000000000000222e-01,4.000000000000000222e-01
8.105288120291452847e-01,-3.786157347529423678e+00,4.000000000000000222e-01,4.000000000000000222e-01
7.142904296277334808e-01,-3.813326299989581170e+00,4.000000000000000222e-01,4.000000000000000222e-01
6.187922081206016500e-01,-3.842993087745152359e+00,4.000000000000000222e-01,4.000000000000000222e-01
5.231556413131606131e-01,-3.872209772447375631e+00,4.000000000000000222e-01,4.000000000000000222e-01
4.265541308402051035e-01,-3.898058858998743936e+00,4.000000000000000222e-01,4.000000000000000222e-01
