# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
4.600000000000000533e+00;4.562227316677593514e+00;4.500148863739108496e-01;2.513279226792926035e-01;6.981345363259888748e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.700000000000000178e+00;4.658998220680871327e+00;4.752218722751102575e-01;2.583092538648308345e-01;6.981345363336514953e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.800000000000000711e+00;4.755590789548635122e+00;5.011038281394087912e-01;2.652905850503610719e-01;6.981345363213280197e-02;4.000000000000000000e+00;0.000000000000000000e+00
4.900000000000000355e+00;4.852000315476226788e+00;5.276594925116632195e-01;2.722719162358954725e-01;6.981345363340769883e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.000000000000000000e+00;4.948222099580283029e+00;5.548875711010051726e-01;2.792532474214443616e-01;6.981345363282126515e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.100000000000000533e+00;5.044251452127748614e+00;5.827867368439055840e-01;2.862345786069785958e-01;6.981345363269293725e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.200000000000000178e+00;5.140083692764444656e+00;6.113556299688613915e-01;2.932159097925083890e-01;6.981345363290836215e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.300000000000000711e+00;5.235714150743195461e+00;6.405928580626720770e-01;3.001972409780411799e-01;6.981345363258842363e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.400000000000000355e+00;5.331138165151459773e+00;6.704969961382996058e-01;3.071785721635837962e-01;6.981345363339713783e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.500000000000000000e+00;5.426351085138510832e+00;7.010665867043257560e-01;3.141599033491180859e-01;6.981345363224615574e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.600000000000000533e+00;5.521348270142104830e+00;7.323001398359781922e-01;3.211412345346539299e-01;6.981345363321989073e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.700000000000000178e+00;5.616125090114661766e+00;7.641961332477618107e-01;3.281225657201968238e-01;6.981345363299480689e-02;4.000000000000000000e+00;0.000000000000000000e+00
5.800000000000000711e+00;5.710676925748924937e+00;7.967530123676416220e-01;3.351038969057246186e-01;6.981345363227933754e-02;4.000000000000000000e+00;0.000000000000000000e+00
