# x_m, y_m, w_tr_right_m, w_tr_left_m
1.671786915900975057e+00,2.697485909103500390e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.581883600848435156e+00,2.741273954872049945e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.489144256166856417e+00,2.778682645462383416e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.394020882099897163e+00,2.809529831470031436e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.296977098359380687e+00,2.833664494188749217e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.198485884499414400e+00,2.850971578574895471e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.099027274671794840e+00,2.861356894296221309e+00,4.000000000000000222e-01,4.000000000000000222e-01
9.990860179981513323e-01,2.864807404042529093e+00,4.000000000000000222e-01,4.000000000000000222e-01
8.991492159619125513e-01,2.868338727739843552e+00,4.000000000000000222e-01,4.000000000000000222e-01
7.997039483351474631e-01,2.878863469648625717e+00,4.000000000000000222e-01,4.000000000000000222e-01
7.012348992112164003e-01,2.896292880828671645e+00,4.000000000000000222e-01,4.000000000000000222e-01
6.042219947136810987e-01,2.920552264137089793e+00,4.000000000000000222e-01,4.000000000000000222e-01
5.091380638949640769e-01,2.951520577462653616e+00,4.000000000000000222e-01,4.000000000000000222e-01
4.164465342252789970e-01,2.989047652086931794e+00,4.000000000000000222e-01,4.000000000000000222e-01
3.265991729037189262e-01,3.032950375944922339e+00,4.000000000000000222e-01,4.000000000000000222e-01
2.400338850000803270e-01,3.083014829817008362e+00,4.000000000000000222e-01,4.000000000000000222e-01
1.571725791590188603e-01,3.138996990017008937e+00,4.000000000000000222e-01,4.000000000000000222e-01
7.841911126882288030e-02,3.200624010603954073e+00,4.000000000000000222e-01,4.000000000000000222e-01
4.157316117120332839e-03,3.267595527837030112e+00,4.000000000000000222e-01,4.000000000000000222e-01
-6.525086337301194694e-02,3.339585131035825771e+00,4.000000000000000222e-01,4.000000000000000222e-01
-1.294671402086716439e-01,3.416241951576554747e+00,4.000000000000000222e-01,4.000000000000000222e-01
-1.881785320966276598e-01,3.497192373498384743e+00,4.000000000000000222e-01,4.000000000000000222e-01
-2.410988868808104646e-01,3.582041854321430741e+00,4.000000000000000222e-01,4.000000000000000222e-01
-2.879702772129833499e-01,3.670376848036965622e+00,4.000000000000000222e-01,4.000000000000000222e-01
-3.285642576591461528e-01,3.761766820669726563e+00,4.000000000000000222e-01,4.000000000000000222e-01
-3.626829781146930776e-01,3.855766348650797148e+00,4.000000000000000222e-01,4.000000000000000222e-01
-3.901601481016649386e-01,3.951917289756926799e+00,4.000000000000000222e-01,4.000000000000000222e-01
-4.108618472482368777e-01,4.049751016040004536e+00,4.000000000000000222e-01,4.000000000000000222e-01
-4.246871780002617336e-01,4.148790697862405175e+00,4.000000000000000222e-01,4.000000000000000222e-01
-4.315687573836278768e-01,4.248553627906445307e+00,4.000000000000000222e-01,4.000000000000000222e-01
-4.314730454206495702e-01,4.348553573830915120e+00,4.000000000000000222e-01,4.000000000000000222e-01
-4.244005085998232008e-01,4.448303148108143645e+00,4.000000000000000222e-01,4.000000000000000222e-01
-4.103856176022184776e-01,4.547316183491306951e+00,4.000000000000000222e-01,4.000000000000000222e-01
-3.894966792955865120e-01,4.645110102534232510e+00,4.000000000000000222e-01,4.000000000000000222e-01
-3.618355038150261604e-01,4.741208269614964443e+00,4.000000000000000222e-01,4.000000000000000222e-01
-3.275369083528161251e-01,4.835142313999559072e+00,4.000000000000000222e-01,4.000000000000000222e-01
-2.867680600758746867e-01,4.926454412623960444e+00,4.000000000000000222e-01,4.000000000000000222e-01
-2.397276613734019568e-01,5.014699521467417043e+00,4.000000000000000222e-01,4.000000000000000222e-01
-1.866449814056903578e-01,5.099447544643745722e+00,4.000000000000000222e-01,4.000000000000000222e-01
-1.277787386742267051e-01,5.180285430632324051e+00,4.000000000000000222e-01,4.000000000000000222e-01
